epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.62394,5.77644,3.74379,4.22928,0,0,0,0,5.90096,3.53899,6.37425,0,0,0
2,2.95195,5.65761,3.73193,3.98875,0,0,0,0,5.88116,3.5353,6.20561,1.9802e-05,1.9802e-05,1.9802e-05
3,4.29994,5.82032,3.71601,4.35481,0,0,0,0,5.84662,3.52727,5.89145,3.9208e-05,3.9208e-05,3.9208e-05
4,5.62009,5.40475,3.74022,3.68351,0,0,0,0,5.78559,3.51769,5.47033,5.8218e-05,5.8218e-05,5.8218e-05
5,6.93737,5.37087,3.67218,3.32455,0,0,0,0,5.66469,3.51726,4.91015,7.6832e-05,7.6832e-05,7.6832e-05
6,8.24904,4.90226,3.67795,2.83779,0,0,0,0,5.50884,3.56718,4.48219,9.505e-05,9.505e-05,9.505e-05
7,9.51338,4.70682,3.65375,2.70283,0,0,0,0,5.2316,3.59243,3.69768,0.000112872,0.000112872,0.000112872
8,10.8341,4.45705,3.58358,2.16018,0,0,0,0,4.64397,3.60274,2.7231,0.000130298,0.000130298,0.000130298
9,12.1358,4.41763,3.52924,2.01192,0,0,0,0,4.64397,3.60274,2.7231,0.000147328,0.000147328,0.000147328
10,13.7276,4.36083,3.51816,1.88256,0.00167,0.0081,0.00085,9e-05,3.8719,3.62489,1.94745,0.000163962,0.000163962,0.000163962
11,15.0156,3.9577,3.48274,1.70123,0.00167,0.0081,0.00085,9e-05,3.8719,3.62489,1.94745,0.0001802,0.0001802,0.0001802
12,16.4035,3.99936,3.46274,1.65672,0.00167,0.0081,0.00084,0.00017,3.053,3.60827,1.49573,0.000196042,0.000196042,0.000196042
13,17.6342,3.57829,3.43312,1.69913,0.00167,0.0081,0.00084,0.00017,3.053,3.60827,1.49573,0.000211488,0.000211488,0.000211488
14,18.8227,3.59883,3.53517,2.06404,0,0,0,0,3.07594,3.59536,1.38527,0.000226538,0.000226538,0.000226538
15,19.9815,3.61562,3.36661,1.92464,0,0,0,0,3.07594,3.59536,1.38527,0.000241192,0.000241192,0.000241192
