epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85778,5.56016,3.72465,3.89023,0,0,0,0,5.68501,3.4968,5.91755,0,0,0
2,3.63291,5.49863,3.68363,3.42618,0,0,0,0,5.66571,3.49402,5.76896,1.9802e-05,1.9802e-05,1.9802e-05
3,5.31696,5.58367,3.68731,3.31068,0,0,0,0,5.63441,3.4884,5.51015,3.9208e-05,3.9208e-05,3.9208e-05
4,6.82792,5.0785,3.65045,3.46024,0,0,0,0,5.56599,3.48638,5.13277,5.8218e-05,5.8218e-05,5.8218e-05
5,8.41428,4.90671,3.62514,2.97318,0,0,0,0,5.46318,3.49272,4.64865,7.6832e-05,7.6832e-05,7.6832e-05
6,9.99106,4.90754,3.59295,2.91586,0,0,0,0,5.18028,3.52542,3.92972,9.505e-05,9.505e-05,9.505e-05
7,11.5029,4.65574,3.58111,2.5755,0.00267,0.01238,0.00136,0.00014,4.65925,3.55827,2.93132,0.000112872,0.000112872,0.000112872
8,13.1586,4.51602,3.52555,2.12492,0.00667,0.03096,0.00352,0.00067,3.72924,3.58284,1.9363,0.000130298,0.000130298,0.000130298
9,14.6806,3.75531,3.46954,2.10659,0.00667,0.03096,0.00352,0.00067,3.72924,3.58284,1.9363,0.000147328,0.000147328,0.000147328
10,16.4172,3.9277,3.47324,1.89037,0.014,0.06502,0.00755,0.0018,3.30253,3.58487,1.5706,0.000163962,0.000163962,0.000163962
11,17.9676,3.85215,3.40739,1.72217,0.014,0.06502,0.00755,0.0018,3.30253,3.58487,1.5706,0.0001802,0.0001802,0.0001802
12,19.6824,3.87803,3.42365,1.81762,0.01133,0.05263,0.00601,0.00174,3.63719,3.56325,1.57795,0.000196042,0.000196042,0.000196042
13,21.3301,3.50176,3.27785,1.54581,0.01133,0.05263,0.00601,0.00174,3.63719,3.56325,1.57795,0.000211488,0.000211488,0.000211488
14,22.8803,3.39878,3.32355,1.43088,0.01133,0.05263,0.00604,0.00102,3.90617,3.53762,1.63016,0.000226538,0.000226538,0.000226538
15,24.3178,3.46166,3.26918,1.74331,0.01133,0.05263,0.00604,0.00102,3.90617,3.53762,1.63016,0.000241192,0.000241192,0.000241192
16,25.7888,3.37415,3.25062,1.69488,0.00667,0.03096,0.00347,0.00065,3.85343,3.49525,1.59707,0.00025545,0.00025545,0.00025545
