epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26202,5.69226,3.71654,3.69812,0,0,0,0,5.73518,3.49188,6.02784,0,0,0
2,4.31998,5.50506,3.67517,3.94341,0,0,0,0,5.71273,3.48774,5.85565,1.9901e-05,1.9901e-05,1.9901e-05
3,6.75828,5.51972,3.64645,3.35718,0,0,0,0,5.67223,3.48072,5.54365,3.9604e-05,3.9604e-05,3.9604e-05
4,8.51492,5.09051,3.65638,3.62914,0,0,0,0,5.59454,3.47462,5.10772,5.9109e-05,5.9109e-05,5.9109e-05
5,10.8498,5.09052,3.7141,2.95324,0,0,0,0,5.48775,3.48973,4.64785,7.8416e-05,7.8416e-05,7.8416e-05
6,12.7806,4.89515,3.58933,2.92906,0,0,0,0,5.22663,3.52038,3.94422,9.7525e-05,9.7525e-05,9.7525e-05
7,15.0024,4.69331,3.55865,2.26753,0.00111,0.00501,0.00056,6e-05,4.86344,3.54061,3.13294,0.000116436,0.000116436,0.000116436
8,17.1719,4.32183,3.51455,2.2107,0.01111,0.05013,0.00586,0.00087,4.07141,3.55038,2.20091,0.000135149,0.000135149,0.000135149
9,19.0995,4.04826,3.51504,2.13011,0.01111,0.05013,0.00586,0.00087,4.07141,3.55038,2.20091,0.000153664,0.000153664,0.000153664
10,21.4825,4.04986,3.50012,1.98895,0.01389,0.06266,0.00747,0.00185,3.33251,3.56553,1.62416,0.000171981,0.000171981,0.000171981
11,23.446,3.67048,3.41049,1.70256,0.01389,0.06266,0.00747,0.00185,3.33251,3.56553,1.62416,0.0001901,0.0001901,0.0001901
12,25.4451,3.80892,3.42092,1.81325,0.01667,0.07519,0.00899,0.00241,3.56946,3.53033,1.53514,0.000208021,0.000208021,0.000208021
13,27.5226,3.50186,3.32607,1.56292,0.01667,0.07519,0.00899,0.00241,3.56946,3.53033,1.53514,0.000225744,0.000225744,0.000225744
14,29.323,3.54594,3.33607,1.68876,0.02111,0.09524,0.01204,0.00252,3.83002,3.50179,1.58071,0.000243269,0.000243269,0.000243269
15,31.2651,3.28423,3.21482,1.4313,0.02111,0.09524,0.01204,0.00252,3.83002,3.50179,1.58071,0.000260596,0.000260596,0.000260596
16,33.2217,3.26487,3.24451,1.63847,0.03778,0.17043,0.02376,0.00506,3.59817,3.46487,1.50941,0.000277725,0.000277725,0.000277725
17,34.9923,3.2153,3.12889,1.65708,0.03778,0.17043,0.02376,0.00506,3.59817,3.46487,1.50941,0.000294656,0.000294656,0.000294656
18,37.1716,3.05758,3.04841,1.38437,0.05944,0.26817,0.04255,0.00975,3.11834,3.41564,1.37504,0.000311389,0.000311389,0.000311389
19,38.9759,2.7741,2.8283,1.31892,0.05944,0.26817,0.04255,0.00975,3.11834,3.41564,1.37504,0.000327924,0.000327924,0.000327924
20,40.789,3.0556,2.87288,1.46171,0.07944,0.3584,0.0633,0.01863,2.67163,3.32439,1.24756,0.000344261,0.000344261,0.000344261
21,42.7723,2.69724,2.67811,1.23925,0.07944,0.3584,0.0633,0.01863,2.67163,3.32439,1.24756,0.0003604,0.0003604,0.0003604
22,44.8824,3.17203,2.75255,1.31183,0.08167,0.36842,0.06652,0.0215,2.47598,3.24477,1.21195,0.000376341,0.000376341,0.000376341
23,47.1533,2.84185,2.5585,1.33491,0.08167,0.36842,0.06652,0.0215,2.47598,3.24477,1.21195,0.000392084,0.000392084,0.000392084
24,49.2255,2.72234,2.50309,1.27745,0.08167,0.36842,0.06652,0.0215,2.47598,3.24477,1.21195,0.000407629,0.000407629,0.000407629
25,51.2258,2.60478,2.4476,1.27983,0.11167,0.50376,0.13135,0.03618,2.45197,3.0919,1.21492,0.000422976,0.000422976,0.000422976
26,53.1837,2.8419,2.2992,1.24829,0.11167,0.50376,0.13135,0.03618,2.45197,3.0919,1.21492,0.000438125,0.000438125,0.000438125
27,55.3638,2.99148,2.37703,1.28548,0.11167,0.50376,0.13135,0.03618,2.45197,3.0919,1.21492,0.000453076,0.000453076,0.000453076
28,57.4038,2.89406,2.3839,1.33375,0.14944,0.67419,0.29116,0.08155,2.50125,2.88619,1.23371,0.000467829,0.000467829,0.000467829
29,59.3334,2.50026,2.24081,1.26874,0.14944,0.67419,0.29116,0.08155,2.50125,2.88619,1.23371,0.000482384,0.000482384,0.000482384
30,61.3385,2.74264,2.11463,1.26378,0.14944,0.67419,0.29116,0.08155,2.50125,2.88619,1.23371,0.000496741,0.000496741,0.000496741
31,63.3515,2.56462,2.18435,1.23877,0.15556,0.70175,0.39054,0.10903,2.57655,2.58573,1.27754,0.0005109,0.0005109,0.0005109
