epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.62808,5.53758,3.84931,3.63576,0,0,0,0,5.74347,3.50668,6.05026,0,0,0
2,5.11285,5.46886,3.6762,3.8066,0,0,0,0,5.72347,3.50235,5.89221,1.9901e-05,1.9901e-05,1.9901e-05
3,7.68754,5.53821,3.73439,3.46267,0,0,0,0,5.6875,3.49637,5.60693,3.9604e-05,3.9604e-05,3.9604e-05
4,10.0177,5.48752,3.67098,3.27491,0,0,0,0,5.6255,3.49353,5.22592,5.9109e-05,5.9109e-05,5.9109e-05
