epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1675,5.61932,3.70943,3.78489,0,0,0,0,5.73378,3.50186,5.99226,0,0,0
2,6.06171,5.51416,3.71115,3.87767,0,0,0,0,5.71062,3.49807,5.81015,1.99505e-05,1.99505e-05,1.99505e-05
3,8.72903,5.48025,3.69417,3.79056,0,0,0,0,5.6584,3.49109,5.4649,3.9802e-05,3.9802e-05,3.9802e-05
4,11.399,5.37598,3.63905,3.53031,0,0,0,0,5.56025,3.48481,4.94761,5.95545e-05,5.95545e-05,5.95545e-05
5,14.4919,5.16836,3.64593,2.87874,0,0,0,0,5.38285,3.48847,4.2774,7.9208e-05,7.9208e-05,7.9208e-05
6,17.2936,5.05875,3.61032,2.82192,0,0,0,0,5.06933,3.51517,3.49023,9.87625e-05,9.87625e-05,9.87625e-05
7,20.4481,4.47072,3.55819,2.23319,0,0,0,0,4.45069,3.55219,2.53623,0.000118218,0.000118218,0.000118218
8,23.2172,4.18712,3.50189,2.10648,0.0075,0.03651,0.0039,0.00077,3.59135,3.58106,1.80842,0.000137575,0.000137575,0.000137575
9,26.2133,3.97593,3.47916,2.07108,0.0075,0.03651,0.0039,0.00077,3.59135,3.58106,1.80842,0.000156832,0.000156832,0.000156832
10,28.9068,3.87534,3.44847,1.83009,0.00792,0.03854,0.00413,0.00097,3.3255,3.59692,1.57982,0.000175991,0.000175991,0.000175991
11,31.2234,3.68806,3.43721,1.91046,0.00792,0.03854,0.00413,0.00097,3.3255,3.59692,1.57982,0.00019505,0.00019505,0.00019505
12,33.901,3.56348,3.39451,1.72025,0.01458,0.07099,0.00818,0.0019,3.75333,3.56779,1.62924,0.000214011,0.000214011,0.000214011
13,36.6727,3.50895,3.2937,1.50078,0.01458,0.07099,0.00818,0.0019,3.75333,3.56779,1.62924,0.000232872,0.000232872,0.000232872
14,39.5531,3.43107,3.2988,1.53142,0.01792,0.08722,0.01013,0.00237,3.82732,3.53444,1.634,0.000251634,0.000251634,0.000251634
15,42.2591,3.31941,3.18111,1.58876,0.01792,0.08722,0.01013,0.00237,3.82732,3.53444,1.634,0.000270298,0.000270298,0.000270298
16,44.8562,3.26004,3.19091,1.41851,0.0275,0.13387,0.01641,0.00327,3.52652,3.48525,1.51792,0.000288863,0.000288863,0.000288863
